이벤트명,홈팀,어웨이팀,이벤트ID,시작일시(서울),종료일시(서울),장비명,스튜디오URL,overlayUrl
[2025 화랑대기 2차_U12] 서울FC구로U12 vs 경기의왕G스포츠클럽U12,HOME_TEAM,AWAY_TEAM,68a27a39526cbd034fd69f94,2025-08-20 17:30,2025-08-20 21:13,경주_알천2A,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a27a39526cbd034fd69f94,https://sportscoder.up.railway.app/unified/6/overlay
[2025 화랑대기 2차_U12] 서울FC 베스트원 vs 경기하남FCU12,HOME_TEAM,AWAY_TEAM,68a27b6e56ff009544ac1d39,2025-08-20 17:30,2025-08-20 21:13,경주_알천2B,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a27b6e56ff009544ac1d39,https://sportscoder.up.railway.app/unified/7/overlay
[2025 화랑대기 2차_U12] 부산부산아이파크(U-12) vs 전북현대U12,HOME_TEAM,AWAY_TEAM,68a27cc3c1a9753188a410dc,2025-08-20 17:30,2025-08-20 22:21,경주_알천3A,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a27cc3c1a9753188a410dc,https://sportscoder.up.railway.app/unified/8/overlay
PXLS1_32838 테스트,필리핀UST,필리핀UP,68a95f5e8892ea965395c3b0,2025-08-23 15:37,2025-08-23 15:38,김천실내,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68a95f5e8892ea965395c3b0,
