이벤트명,홈팀,어웨이팀,이벤트ID,시작일시(서울),종료일시(서울),장비명,스튜디오URL,overlayUrl
WOW FC vs 블랙이글,WOW FC,블랙이글,68ad11764a77ae00912aebad,2025-08-23 17:12,2025-08-23 18:30,,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68ad11764a77ae00912aebad,
2025-08-26 19:30 DO ARENA 1MK,HOME_TEAM,AWAY_TEAM,68ad10e64a77ae00912aeba8,2025-08-26 20:30,2025-08-26 22:30,,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68ad10e64a77ae00912aeba8,
SKYLIFE vs Other,SKYLIFE,Other,68ad0353526cbd034fd75390,2025-08-26 09:41,2025-08-26 09:42,,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68ad0353526cbd034fd75390,
KT-소닉붐-0826 AM,,,68acf88c4a77ae00912ae924,2025-08-26 09:50,2025-08-26 11:06,,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68acf88c4a77ae00912ae924,
[2025 제14회 속초시장기_B조 결승] 화성시A vs 성남분당구B,경기 화성시A리틀야구단,경기 성남분당구B리틀야구단,68acf6ee526cbd034fd75247,2025-08-26 12:20,2025-08-26 14:22,,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68acf6ee526cbd034fd75247,http://114.31.59.5:4200/output/jVR9M-R
08/26 매헌시민의 숲 테니스장C,HOME_TEAM,AWAY_TEAM,68acdab148a2344dfab44d34,2025-08-26 07:00,2025-08-26 07:55,,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68acdab148a2344dfab44d34,
2025-08-26 18:00 Cascara arena,HOME_TEAM,AWAY_TEAM,68ac80724a77ae00912adaea,2025-08-26 19:00,2025-08-26 21:00,,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=68ac80724a77ae00912adaea,
