이벤트명,홈팀,어웨이팀,이벤트ID,시작일시(서울),종료일시(서울),장비명,스튜디오URL
제58회 대통령배 전국중고배구대회_15세이하 남자부,옥천중,제천중,688adec8d235bed1c5632423,2025-08-01 09:10,2025-08-01 10:17,KY2024A0006_new,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688adec8d235bed1c5632423
제58회 대통령배 전국중고배구대회_18세이하 남자부,제천산업고,영생고,688adccb7d15485f1a6ef228,2025-08-01 09:10,2025-08-01 10:47,KY2024A0007_new,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688adccb7d15485f1a6ef228
제58회 대통령배 전국중고배구대회_18세이하 남자부,경북사대부고,송림고,688985034ad0950f73ae4b33,2025-07-31 16:55,2025-07-31 18:19,KY2024A0007_new,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688985034ad0950f73ae4b33
제58회 대통령배 전국중고배구대회_15세이하 여자부,월평중,세화여중,688b4181ccdfba2541216112,2025-08-01 09:10,2025-08-01 10:24,KY2024A0008_new,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688b4181ccdfba2541216112
제58회 대통령배 전국중고배구대회_18세이하 남자부,HOME_TEAM,남성고,688b42904d9ffa914552ed23,2025-08-01 09:10,2025-08-01 10:38,KY2024A0009_new,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688b42904d9ffa914552ed23
제58회 대통령배 전국중고배구대회_15세이하 남자부,옥천중,제천중,688adec722b54f1e04c548d2,2025-08-01 09:10,2025-08-01 10:17,PXLP_0159_충무체육관,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688adec722b54f1e04c548d2
제58회 대통령배 전국중고배구대회_15세이하 여자부,월평중,세화여중,688b41802ff398d69d2464ee,2025-08-01 09:10,2025-08-01 10:24,PXLS1_32548_동원고체육관,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688b41802ff398d69d2464ee
제58회 대통령배 전국중고배구대회_18세이하 남자부,제천산업고,영생고,688adcc9a2d1ab5b2d9d983f,2025-08-01 09:10,2025-08-01 10:47,PXLS1_32823(통영체육관),https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688adcc9a2d1ab5b2d9d983f
제58회 대통령배 전국중고배구대회_18세이하 남자부,경북사대부고,송림고,688985026826bbf9ae9d8bdd,2025-07-31 16:55,2025-07-31 18:19,PXLS1_32823(통영체육관),https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688985026826bbf9ae9d8bdd
제58회 대통령배 전국중고배구대회_18세이하 남자부,HOME_TEAM,남성고,688b428f4d9ffa914552ed22,2025-08-01 09:10,2025-08-01 10:38,PXLS1_32838_통영중,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688b428f4d9ffa914552ed22
제58회 대통령배 전국중고배구대회_18세이하 남자부,현일고,대전중앙고,688981464ad0950f73ae4af1,2025-07-31 16:26,2025-07-31 18:06,PXLS1_32838_통영중,https://corehub.aisportstv.com/Studio/StudioMgmt?eventid=688981464ad0950f73ae4af1
